title,publishedDate,dislikeCount,commentCount,viewCount,likeCount
Video ,5/30/2016,32,100,594214,725
Focus ,5/30/2016,335101,379733,493900084,2906910
Video ,5/30/2016,1236,17112,7603985,145653
Video ,5/30/2016,5076,15344,31824843,299621
Bling ,5/30/2016,321843,303248,763745813,3616544
Woman ,5/30/2016,72055,135867,125955161,1384008
house ,5/30/2016,172,964,2383733,12371
T-SERIES ,5/30/2016,639,319,1913206,7899
PILLOWTALK ,5/30/2016,354703,324554,492095871,3345761
video ,5/30/2016,750,46,4908185,17327
Sunshine ,5/30/2016,8598,20027,37065034,432134
Video) ,5/30/2016,10419,28438,171640802,590747
Video] ,5/30/2016,21818,113156,219846017,978342
Videos ,5/30/2016,163337,16150,340881008,275359
|T-Series ,5/30/2016,3060,3240,15125279,54915
Rodgers ,5/30/2016,945,1629,3716586,53984
FailArmy ,5/30/2016,6380,15734,20104334,195709
Video) ,5/30/2016,6185,4934,17208348,150343
Movement) ,5/30/2016,26145,27453,55481847,640974
5! ,5/30/2016,688,6227,1705889,68943
Mallik ,5/30/2016,503,856,3402124,10549
Colors ,5/30/2016,11007,35227,30354878,501231
Video)(Cover) ,5/30/2016,5092,2279,12675716,56190
You ,5/30/2016,8454,8102,10764542,113261
Conversation ,5/30/2016,2149,1487,6250723,21115
#1 ,5/30/2016,394,2518,372742,18595
Perfect ,5/30/2016,5911,24931,12817425,278898
Sugar ,5/30/2016,183479,173204,1278628264,4900171
Space ,5/30/2016,433177,447248,1615430670,5579444
Park ,5/30/2016,2647,10299,5213701,87455
Video) ,5/30/2016,8231,32036,54417372,480544
Video ,5/30/2016,1860,7,3029791,2995
Movement) ,5/30/2016,641963,516372,1451470264,5835033
Mind ,5/30/2016,6746,12377,18314969,73484
Mallik ,5/30/2016,53,59,401184,1193
7! ,5/30/2016,1274,8260,2690120,74490
TV ,5/30/2016,11395,21684,44640436,84592
Videos ,5/30/2016,145,5077,215061,15245
Video) ,5/30/2016,16424,57245,15998317,508815
J ,5/30/2016,625754,446414,1416771242,4404385
Video] ,5/30/2016,18549,101338,268253389,982936
Common ,5/30/2016,1614,2511,1612317,35906
Movement) ,5/30/2016,197074,148658,668611509,3124740
Khushboo ,5/30/2016,1795,1586,10530194,28294
Dreams ,5/30/2016,134515,196197,454105887,2473270
Malik ,5/30/2016,5550,953,16063037,13650
Levine ,5/30/2016,41845,55956,365799226,1621472
Off ,5/30/2016,538904,391991,1486575854,4752042
VIDEOS! ,5/30/2016,1413,3698,3114371,87468
Video ,5/30/2016,125,340,1012923,11612
Exclusive) ,5/30/2016,4218,2173,2374650,34095
#3 ,5/30/2016,181,787,227192,7390
NO ,5/30/2016,205786,183392,238022906,1629968
Version) ,5/30/2016,13269,13208,44872482,359638
SCARY! ,5/30/2016,18,5,44745,49
|T-Series ,5/30/2016,140,127,713365,2569
Too ,5/30/2016,56727,61399,48502011,603067
Mean? ,5/30/2016,548244,335161,1046154156,4247517
Down ,5/30/2016,128139,365676,468038795,3921739
time ,5/30/2016,1748,11219,1472833,58563
